gene_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
AV039307,6,7,10,0,0,0,0,13,4,6,16,10
Fam78a,2,2,0,0,2,4,4,7,7,0,11,4
A430105I19Rik,840,1001,786,802,635,319,608,552,619,554,1213,949
Pla2g4e,0,0,0,0,0,0,0,0,0,0,0,0
8430427H17Rik,776,754,603,517,652,282,593,656,533,356,878,759
Gpsm1,3007,3200,2654,2723,2811,1318,2707,1984,1986,1686,3357,3073
Kbtbd4,399,437,428,300,374,164,316,435,532,288,613,446
Ermn,0,0,0,0,0,0,0,0,0,0,0,0
Slc24a5,3,4,3,0,0,0,2,0,0,2,0,3
Slc24a3,2205,1899,1535,1015,1530,707,1469,1143,1009,821,1798,1933
Defb36,0,0,0,0,0,0,0,0,0,0,0,0
Nsfl1c,1594,1996,1706,1442,1570,646,1594,1854,2140,1337,3249,1823
Usp8,2373,2703,2309,1726,2039,979,2152,2323,2578,1762,3702,2536
Rif1,1018,1234,956,814,900,558,1081,1041,1107,838,1631,1079
Stau1,3272,3259,3123,2438,2558,1267,2791,2944,2306,2394,5390,3157
Mir130a,0,0,0,0,0,0,0,0,0,0,0,0
Ano3,3,16,9,7,9,4,9,4,10,5,9,29
Olfr1110,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1111,0,0,0,0,0,0,0,0,0,0,0,0
Card9,4,6,0,4,0,0,4,2,5,0,9,0
Olfr1113,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1115,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1118,0,0,0,0,0,0,0,0,0,0,0,0
4930426L09Rik,2,18,7,7,2,1,4,5,6,15,12,1
Uqcc1,734,890,746,573,596,317,692,668,779,519,1027,931
Znf512b,2196,2320,1870,1972,1961,842,1959,1670,1897,1450,3350,2190
Acvr1c,0,0,0,2,0,0,0,0,0,0,0,0
Stom,655,949,812,591,553,310,643,1100,1580,777,1604,823
Hat1,334,395,321,216,294,159,359,573,894,498,851,373
Rpl35,4061,5639,5332,4518,4393,2314,4780,6522,7908,5138,10448,5410
Ppip5k1,1233,1408,1245,986,1114,489,1043,818,725,550,1444,1382
Vsx1,0,0,0,0,0,0,0,0,0,0,0,0
Slco4a1,0,5,0,0,0,0,0,130,313,92,131,3
Bcas1,7,6,5,12,4,0,4,5,3,6,3,8
A730036I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
Oxt,0,3,0,0,0,0,5,0,0,0,0,0
Olfr1099,0,0,0,0,0,0,0,0,0,0,0,0
Ino80,1184,1422,1193,1066,1128,516,1176,1283,1442,1082,2620,1300
Sfmbt2,8,12,11,5,21,8,10,15,18,23,24,4
BB557941,0,0,0,0,0,0,0,0,0,0,0,0
Blvra,263,407,355,277,265,132,278,357,407,269,564,373
Setx,1327,1774,1413,1129,1359,662,1458,1475,1804,1238,2519,1587
Olfr1024,0,0,0,0,0,0,0,0,0,0,0,0
Snrnp200,4919,5807,4848,3733,3892,2126,4318,4591,5232,3740,8004,5762
Olfr1026,0,0,0,0,0,0,0,0,0,0,0,0
Zdhhc5,2822,3114,3015,2135,2588,1272,2761,3475,4097,2665,5839,3203
Olfr1022,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1023,0,0,0,0,0,0,0,0,0,0,0,0
4930442J19Rik,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1028,0,0,0,0,0,0,0,0,0,0,0,0
Bhlhe23,0,0,0,0,0,0,0,0,0,0,0,0
Gm14308,0,1,0,0,0,0,0,0,1,0,2,0
Cst8,0,0,0,0,0,0,0,0,0,0,0,0
Cst9,0,0,0,0,0,0,0,0,0,0,0,0
Uap1l1,693,1068,972,787,746,341,814,793,957,626,1229,978
Vps16,1347,1608,1430,1290,1146,519,1173,1289,1498,1056,2595,1515
AI182371,0,17,3,5,14,0,7,0,11,13,16,13
Cst3,45828,53656,48616,36171,42127,18894,40865,31207,29814,23799,44109,46701
Gm14305,248,624,472,207,355,236,528,574,500,342,667,662
Cst7,0,0,0,0,0,0,0,0,0,0,0,0
Gm14306,6,0,0,0,0,0,0,0,0,0,0,0
Wdr5,1113,1245,1099,887,1066,446,1098,1193,1475,916,2100,1222
Gm14164,0,0,0,0,0,0,0,0,0,0,0,0
Gm14169,0,2,0,0,0,0,0,0,0,0,2,0
Ptf1a,0,0,0,0,0,0,0,0,0,0,0,0
Gm14496,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1221,0,0,0,0,0,0,0,0,0,0,0,0
Naa20,717,993,748,604,801,387,712,861,1050,705,1337,842
Gm996,24,29,35,22,32,8,20,22,24,11,30,30
Pdss1,78,89,63,51,65,29,84,75,95,114,195,88
Gm14015,0,0,0,0,0,0,0,0,0,0,0,0
Tgm2,22657,27046,22624,14577,16437,8389,15737,22300,21793,15901,38271,23593
Tgm3,0,0,0,0,0,0,0,0,0,0,0,0
Tgm5,2,0,0,0,3,0,0,0,0,0,0,0
Tgm6,0,0,0,0,0,0,0,0,0,0,0,0
Tgm7,0,0,0,7,0,0,5,0,0,0,0,0
Abhd12,1751,1945,1671,1351,1580,671,1530,1464,1394,1124,2172,1965
Mageb3,3,7,3,4,2,1,2,7,3,2,10,2
Med27,437,538,458,354,387,183,404,426,523,343,763,521
Tor4a,410,524,491,321,405,159,363,406,516,252,568,458
Slc4a11,11,33,5,28,16,8,9,23,31,15,41,22
Slc4a10,0,4,7,15,14,0,0,4,0,5,9,38
Zfp133-ps,8,21,13,13,11,6,9,12,30,3,12,17
Rad21l,0,0,0,0,0,0,0,0,0,0,0,0
9430021M05Rik,0,0,0,0,0,0,0,0,0,0,0,0
Vim,50707,61682,52393,42060,49600,24279,50135,66271,80273,53089,100824,57858
Lamp5,0,0,0,0,0,0,0,0,0,0,0,0
